ward_number,ward_name,from_year,to_year,period,trees_lost_m2,trees_gained_m2,net_tree_change_m2,built_gained_m2,trees_to_built_m2
21,DHOLE PATIL ROAD,2019,2020,2019_to_2020,23383.06147003174,320825.18936480366,297442.1278947719,129830.22045865531,18856.037712097168
20,DHOLE PATIL ROAD,2019,2020,2019_to_2020,18895.99180396585,34096.75486653646,15200.763062570608,13049.230169139188,8805.328405223174
52,NAGAR ROAD-VADGAONSHERI,2019,2020,2019_to_2020,26858.360299832213,439734.32593440625,412875.96563457407,1974031.5766971956,9414.654969937194
45,NAGAR ROAD-VADGAONSHERI,2019,2020,2019_to_2020,22088.274875865263,325362.4486014271,303274.1737255618,921314.8491730333,7143.658984195485
4,NAGAR ROAD-VADGAONSHERI,2019,2020,2019_to_2020,50510.916223294145,104995.70596424177,54484.78974094763,357316.8239715572,42260.938448229026
3,NAGAR ROAD-VADGAONSHERI,2019,2020,2019_to_2020,49193.15717136158,604568.4388843013,555375.2817129397,467785.2998629102,18740.305135839124
5,NAGAR ROAD-VADGAONSHERI,2019,2020,2019_to_2020,20802.999758103313,293176.18380737305,272373.1840492697,126094.10073556339,17596.838640549606
1,YERWADA-KALAS-DHANORI,2019,2020,2019_to_2020,102371.97299619188,881215.8687583776,778843.8957621858,424952.69337119296,84246.36997342577
2,YERWADA-KALAS-DHANORI,2019,2020,2019_to_2020,52652.16767174216,406967.0506119971,354314.88294025493,63531.20270723829,25081.319038391113
6,YERWADA-KALAS-DHANORI,2019,2020,2019_to_2020,5186.391448974609,48860.9564743042,43674.56502532959,88922.57420349121,4337.684387207031
9,AUNDH-BANER,2019,2020,2019_to_2020,230536.4264182296,2752095.3622129876,2521558.935794758,567344.7013615028,114658.3867418177
8,AUNDH-BANER,2019,2020,2019_to_2020,22811.18286040063,348637.3937248679,325826.21086446726,98027.09889352837,10160.170095795276
60,AUNDH-BANER,2019,2020,2019_to_2020,1885.7963638305664,74907.81324426987,73022.0168804393,295069.56288646616,660.0270538330078
61,AUNDH-BANER,2019,2020,2019_to_2020,57766.35980903775,1293325.0938744643,1235558.7340654265,300886.24741659727,17649.791250221402
10,KOTHRUD-BAVDHAN,2019,2020,2019_to_2020,24773.763704845947,1376128.7809716023,1351355.0172667564,235136.11066457714,18366.33231958127
12,KOTHRUD-BAVDHAN,2019,2020,2019_to_2020,3678.75968170166,59363.08977631213,55684.33009461047,9088.021487875545,3678.75968170166
11,KOTHRUD-BAVDHAN,2019,2020,2019_to_2020,41792.22493603276,914839.6322325461,873047.4072965133,96215.67002174527,7827.965530395508
62,KOTHRUD-BAVDHAN,2019,2020,2019_to_2020,10685.972285999971,557131.8945397169,546445.922253717,192697.06922514676,9362.221200561522
7,SHIVAJINAGAR-GHOLE ROAD,2019,2020,2019_to_2020,99519.38428934134,1007730.9669356095,908211.5826462682,355888.66220679216,84147.80418832815
14,SHIVAJINAGAR-GHOLE ROAD,2019,2020,2019_to_2020,3678.006134033203,122568.83768693512,118890.83155290192,31132.720108481015,3112.156349182129
40,DHANKAWADI-SAHAKARNAGAR,2019,2020,2019_to_2020,8397.211822509766,190906.77555856144,182509.56373605167,20906.868882183,7642.410461425781
51,DHANKAWADI-SAHAKARNAGAR,2019,2020,2019_to_2020,2358.894676208496,119434.72864864577,117075.83397243728,243309.13324668724,2358.894676208496
42,DHANKAWADI-SAHAKARNAGAR,2019,2020,2019_to_2020,754.8213424682617,1645.4067595238778,890.5854170556161,19531.05419921875,754.8213424682617
35,DHANKAWADI-SAHAKARNAGAR,2019,2020,2019_to_2020,1939.499091204475,222864.26503732713,220924.76594612264,58352.08298148362,1626.1665489645566
39,DHANKAWADI-SAHAKARNAGAR,2019,2020,2019_to_2020,0.0,0.0,0.0,0.0,0.0
63,DHANKAWADI-SAHAKARNAGAR,2019,2020,2019_to_2020,68266.16920525045,3303886.5888032797,3235620.419598029,228356.83295686013,754.9377517700195
64,DHANKAWADI-SAHAKARNAGAR,2019,2020,2019_to_2020,0.0,67082.35006085565,67082.35006085565,170851.04992529185,0.0
65,DHANKAWADI-SAHAKARNAGAR,2019,2020,2019_to_2020,4435.2197189331055,409018.1733096255,404582.95359069237,219919.60290410652,2170.3646850585938
66,DHANKAWADI-SAHAKARNAGAR,2019,2020,2019_to_2020,34730.97927856445,2749248.37793663,2714517.3986580656,162837.42598814116,471.8471450805664
67,SINHGAD ROAD,2019,2020,2019_to_2020,377.4377899169922,204282.91282402488,203905.4750341079,67893.8736593209,94.36181640625
43,SINHGAD ROAD,2019,2020,2019_to_2020,69260.00076293945,2278386.5723823695,2209126.57161943,363263.3260857076,33969.73090362549
33,SINHGAD ROAD,2019,2020,2019_to_2020,29457.36655880797,191248.44097427663,161791.07441546867,139913.00641889378,21367.969278582408
71,SINHGAD ROAD,2019,2020,2019_to_2020,95264.25931988884,526057.1610806334,430792.9017607446,184251.27244424258,50753.60790701475
70,SINHGAD ROAD,2019,2020,2019_to_2020,29770.024938067265,458440.70351143624,428670.678573369,194223.88911560652,12313.585751971077
34,SINHGAD ROAD,2019,2020,2019_to_2020,28271.161806832108,1285617.0650338565,1257345.9032270245,108186.94549425911,6421.285623168946
30,SINHGAD ROAD,2019,2020,2019_to_2020,21383.226042803595,47666.11540111467,26282.889358311077,47489.99250604966,19308.02017885096
68,SINHGAD ROAD,2019,2020,2019_to_2020,16128.391510159361,2933435.3294530557,2917306.9379428965,45294.28679291968,4246.775093078613
69,SINHGAD ROAD,2019,2020,2019_to_2020,24828.939842313877,1348459.213346983,1323630.2735046693,107137.86003926594,5945.147445678711
72,SINHGAD ROAD,2019,2020,2019_to_2020,176774.34276885987,2157890.682916529,1981116.3401476692,260546.63461743525,138258.92105706906
32,WARJE-KARVENAGAR,2019,2020,2019_to_2020,27237.448459550447,826821.4120021146,799583.9635425641,229198.5805714925,19349.479881376377
50,WARJE-KARVENAGAR,2019,2020,2019_to_2020,99049.10279053332,1081607.4968501676,982558.3940596343,141091.28275209316,50488.449684202904
13,WARJE-KARVENAGAR,2019,2020,2019_to_2020,2452.5124740600586,18794.315198561722,16341.802724501664,947.307375051461,377.2966003417969
44,WARJE-KARVENAGAR,2019,2020,2019_to_2020,842.4541622386259,0.0,-842.4541622386259,1326.766186314003,760.6875654033586
73,WARJE-KARVENAGAR,2019,2020,2019_to_2020,60540.12633083569,1055792.3171355305,995252.1908046948,67383.56267015044,24308.13683651195
