ward_number,ward_name,from_year,to_year,period,trees_lost_m2,trees_gained_m2,net_tree_change_m2,built_gained_m2,trees_to_built_m2
21,DHOLE PATIL ROAD,2019,2025,2019_to_2025,84261.44144191367,430073.549512706,345812.10807079234,402742.45818445535,81055.06617488487
20,DHOLE PATIL ROAD,2019,2025,2019_to_2025,50171.13104248047,43440.23704863903,-6730.8939938414405,69202.10566726385,39986.14512634277
52,NAGAR ROAD-VADGAONSHERI,2019,2025,2019_to_2025,144151.33192458807,787004.5941732969,642853.2622487089,5552623.709867861,122464.99531570135
45,NAGAR ROAD-VADGAONSHERI,2019,2025,2019_to_2025,47136.20450185141,497488.28958455974,450352.08508270833,2510954.0378305777,15942.204294032676
4,NAGAR ROAD-VADGAONSHERI,2019,2025,2019_to_2025,85210.62267471018,195122.6050935034,109911.98241879322,807184.9822897812,74607.86673946008
3,NAGAR ROAD-VADGAONSHERI,2019,2025,2019_to_2025,167358.48765647737,854484.6242951038,687126.1366386265,885753.2803790823,77134.76976375206
5,NAGAR ROAD-VADGAONSHERI,2019,2025,2019_to_2025,94261.24843821806,223396.7593536377,129135.51091541964,473526.8838098563,69365.86340556425
1,YERWADA-KALAS-DHANORI,2019,2025,2019_to_2025,160308.4441897523,1401134.478004007,1240826.0338142547,1231104.5750465838,144889.44688475365
2,YERWADA-KALAS-DHANORI,2019,2025,2019_to_2025,53247.20098054175,643040.9496544928,589793.748673951,121239.34434913185,27064.018678941913
6,YERWADA-KALAS-DHANORI,2019,2025,2019_to_2025,30160.18892056334,99109.89138464836,68949.70246408501,114753.07181629853,27230.17203805961
9,AUNDH-BANER,2019,2025,2019_to_2025,344443.48699909274,3765270.287489319,3420826.8004902266,1702954.434032096,273085.20494704903
8,AUNDH-BANER,2019,2025,2019_to_2025,57698.31616806329,427758.13979136146,370059.8236232982,179156.26975109623,40522.22621669396
60,AUNDH-BANER,2019,2025,2019_to_2025,1117.0475576064166,163656.98207825294,162539.93452064652,1001390.3307724895,1117.0475576064166
61,AUNDH-BANER,2019,2025,2019_to_2025,92184.35896076876,1529111.445804072,1436927.0868433034,1020909.3114678173,54614.88082694259
10,KOTHRUD-BAVDHAN,2019,2025,2019_to_2025,111650.93742678771,1394094.1073287677,1282443.1699019799,728890.4908626785,109670.22437594543
12,KOTHRUD-BAVDHAN,2019,2025,2019_to_2025,2735.468330383301,88226.25960881851,85490.79127843521,5371.111116686054,2735.468330383301
11,KOTHRUD-BAVDHAN,2019,2025,2019_to_2025,26533.994951883953,999098.7584962732,972564.7635443893,336968.9753163955,16348.075358072918
62,KOTHRUD-BAVDHAN,2019,2025,2019_to_2025,59885.17593856512,593192.7161627077,533307.5402241425,759263.8086280075,53094.4273652619
7,SHIVAJINAGAR-GHOLE ROAD,2019,2025,2019_to_2025,146034.1459469664,1282662.5661375164,1136628.42019055,544002.687131007,140760.19675858438
14,SHIVAJINAGAR-GHOLE ROAD,2019,2025,2019_to_2025,5658.5971603393555,111706.07699477255,106047.4798344332,51361.625863078996,3395.2099075317383
40,DHANKAWADI-SAHAKARNAGAR,2019,2025,2019_to_2025,59013.580799686206,144810.05413662776,85796.47333694156,147249.73653597364,57692.68102704216
51,DHANKAWADI-SAHAKARNAGAR,2019,2025,2019_to_2025,18637.7263077979,92649.52616134346,74011.79985354556,634936.6671920175,18637.7263077979
42,DHANKAWADI-SAHAKARNAGAR,2019,2025,2019_to_2025,849.1740646362305,0.0,-849.1740646362305,19625.40692138672,849.1740646362305
35,DHANKAWADI-SAHAKARNAGAR,2019,2025,2019_to_2025,2735.5610885620117,388339.58022383123,385604.0191352692,63590.04731397441,2735.5610885620117
39,DHANKAWADI-SAHAKARNAGAR,2019,2025,2019_to_2025,0.0,8.139444986979166,8.139444986979166,0.0,0.0
