ward_number,ward_name,census_tree_count,year,total_area_m2,trees_area_m2,built_area_m2,grass_area_m2,bare_area_m2,water_area_m2,trees_pct,built_pct,grass_pct,bare_pct,water_pct
21,DHOLE PATIL ROAD,12139,2021,9007118.89085252,578166.8722268795,7756343.977073489,2169.0007858276367,377.2306823730469,410302.92347298417,6.418999007707738,86.11348502294894,0.02408096098332218,0.004188139259004965,4.555318170493797
20,DHOLE PATIL ROAD,69323,2021,3560419.0112141008,259030.48446640314,3009919.8276997255,7073.574005126953,0.0,220766.4881294999,7.275280905155988,84.53835962058142,0.19867251530922672,0.0,6.200576039903198
52,NAGAR ROAD-VADGAONSHERI,4267,2021,2.9599354269944597E7,830390.4552650899,1.860331214316105E7,0.0,199420.51815867706,445904.5432098688,2.8054343608038588,62.85039860498238,0.0,0.673732664368189,1.5064671314895661
45,NAGAR ROAD-VADGAONSHERI,37898,2021,1.9780699307192303E7,490406.97300136805,1.1473553673487928E7,5374.13224029541,21963.641082763672,122087.55344971306,2.479219593733246,58.003781844639434,0.027168565462907395,0.1110357158848153,0.6172054463480053
4,NAGAR ROAD-VADGAONSHERI,16420,2021,9880834.790372405,347197.59845287836,8113139.66351513,0.0,0.0,310818.62920556153,3.5138488378651718,82.10986050915794,0.0,0.0,3.145671755471654
3,NAGAR ROAD-VADGAONSHERI,13570,2021,1.717799484801488E7,1295502.7234838444,1.086301627599676E7,0.0,1119678.0044708252,73350.23107910156,7.5416411225292395,63.237976097379665,0.0,6.5180948904535105,0.42700112398495715
5,NAGAR ROAD-VADGAONSHERI,5084,2021,6983966.98790857,542315.3227844238,5584029.742756201,0.0,0.0,264581.6567914478,7.76514728267389,79.9549847876415,0.0,0.0,3.7884150547893674
1,YERWADA-KALAS-DHANORI,109608,2021,1.572442166049081E7,2268205.362514363,8047535.971620638,10464.836784362793,6410.303550720215,374452.52563850576,14.424729961378846,51.178581606221364,0.06655148920775093,0.04076654575364604,2.381343706772729
2,YERWADA-KALAS-DHANORI,50493,2021,5952044.4234634675,1307287.3192065086,3822132.1505539846,22536.521858215332,0.0,131047.80295978622,21.963668719491917,64.21545066913166,0.3786349740498313,0.0,2.201727568483605
6,YERWADA-KALAS-DHANORI,3768,2021,2256289.9061160805,228186.62818055996,1813376.4093866353,0.0,0.0,117882.52460051888,10.113355892876132,80.36983210673202,0.0,0.0,5.224617824197903
9,AUNDH-BANER,79889,2021,2.922236348867046E7,5906055.326952821,1.837889374940674E7,22915.43743133545,0.0,482031.2700482835,20.21073801659679,62.89324871525965,0.07841746763645516,0.0,1.6495286913913294
